ExamID,FinalGrade,PSS_Stress,StudyID,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
2311,0.75,21,2015.01.101,108,87240.74074,22924.57421,77867.7686,108298.85057,500000.0,10000.0,13000.0,121,228,0.3467,0.71901,9422000.0,1326426004.39143
2311,0.5648148148148148,37,2015.01.100,108,98379.62963,41830.70866,90042.37288,166015.625,376000.0,17000.0,8000.0,118,136,0.46457,0.54237,10625000.0,2929643163.92269
2262,0.51,34,2016.01.99,100,99690.0,13618.85246,31153.125,68280.82192,269000.0,2000.0,14000.0,320,329,0.44944,0.45625,9969000.0,776515266.53361
2167,0.6336633663366337,29,2016.01.98,101,67792.07921,17032.33831,54341.26984,93794.52055,299000.0,8000.0,8000.0,126,276,0.315,0.57937,6847000.0,518395460.35409
2262,0.52,28,2016.01.98,100,90900.0,20706.15034,61006.71141,124520.54795,409000.0,9000.0,13000.0,149,271,0.35476,0.48993,9090000.0,882911172.1326
2262,0.72,28,2016.01.97,100,97980.0,36154.98155,89889.90826,134219.17808,471000.0,19000.0,8000.0,109,113,0.436,0.66972,9798000.0,2816731447.31447
2167,0.6336633663366337,22,2016.01.93,101,77128.71287,14838.09524,59923.07692,103866.66667,357000.0,6000.0,8000.0,130,297,0.25,0.57692,7790000.0,487540530.7161
2262,0.74,21,2016.01.93,100,99810.0,10944.07895,51715.02591,85307.69231,324000.0,4000.0,10000.0,193,325,0.30538,0.60622,9981000.0,298410700.35819
2167,0.33663366336633666,42,2016.01.89,101,68267.32673,19206.12813,51842.10526,172375.0,1106000.0,3000.0,12000.0,133,226,0.37151,0.30075,6895000.0,4833868007.03381
2262,0.21,39,2016.01.89,100,68920.0,12861.9403,46567.56757,202705.88235,411000.0,2000.0,12000.0,148,382,0.27925,0.22973,6892000.0,663595857.16278
2167,0.6633663366336634,27,2016.01.88,101,84277.22772,22166.66667,59524.47552,98976.74419,568000.0,8000.0,5000.0,143,221,0.37533,0.6014,8512000.0,1385366405.57006
2262,0.53,38,2016.01.87,100,99800.0,36556.77656,94150.9434,181454.54545,431000.0,9000.0,14000.0,106,166,0.39259,0.51887,9980000.0,2718835918.98298
2262,0.42,32,2016.01.86,100,97990.0,22841.49184,86716.81416,208489.3617,545000.0,4000.0,5000.0,113,209,0.32659,0.41593,9799000.0,1765932760.38603
2167,0.7524752475247525,34,2016.01.85,101,74405.94059,17935.56086,59173.22835,86379.31034,320000.0,7000.0,6000.0,127,292,0.30456,0.68504,7515000.0,706510191.73014
2262,0.84,27,2016.01.85,100,96610.0,17957.24907,79188.52459,105010.86957,542000.0,4000.0,13000.0,122,414,0.22761,0.7541,9661000.0,834662973.42388
2167,0.7227722772277227,17,2016.01.84,101,83415.84158,14964.47602,65820.3125,100297.61905,501000.0,5000.0,9000.0,128,396,0.22857,0.65625,8425000.0,615461369.25343
2262,0.75,10,2016.01.84,100,97380.0,11732.53012,83948.27586,121725.0,366000.0,2000.0,17000.0,116,261,0.28642,0.68966,9738000.0,472106901.91405
2262,0.74,23,2016.01.83,100,86590.0,23594.00545,76628.31858,109607.59494,661000.0,6000.0,6000.0,113,152,0.39373,0.69912,8659000.0,1405575155.22402
2167,0.7425742574257426,20,2016.01.82,101,70683.16832,16837.26415,53676.69173,82057.47126,242000.0,9000.0,9000.0,133,244,0.31591,0.65414,7139000.0,479857615.19247
2167,0.5247524752475248,25,2016.01.81,101,80099.0099,22043.59673,68559.32203,137118.64407,290000.0,10000.0,8000.0,118,249,0.32507,0.5,8090000.0,859156564.07737
2262,0.46,18,2016.01.81,100,91320.0,37426.22951,83018.18182,186367.34694,467000.0,17000.0,15000.0,110,131,0.45643,0.44545,9132000.0,2284443095.18991
2262,0.55,35,2016.01.175,100,93160.0,18447.52475,76360.65574,145562.5,273000.0,5000.0,16000.0,122,266,0.26696,0.52459,9316000.0,771644562.31337
2307,0.4818181818181818,19,2017.03PA.158,110,99463.63636,16780.67485,66713.41463,160897.05882,653000.0,7000.0,13000.0,164,323,0.29656,0.41463,10941000.0,636128473.89104
2307,0.45454545454545453,26,2017.03PA.157,110,98363.63636,25433.87471,69806.45161,150277.77778,588000.0,11000.0,14000.0,155,175,0.4697,0.46452,10820000.0,1234813640.5331
2307,0.6363636363636364,23,2017.03PA.156,110,99490.90909,27890.58524,79304.34783,136800.0,414000.0,13000.0,8000.0,138,160,0.42073,0.57971,10944000.0,1390521161.13621
2307,0.34545454545454546,18,2017.03PA.155,110,99554.54545,29677.50678,79934.30657,233000.0,801000.0,19000.0,8000.0,137,214,0.3881,0.34307,10951000.0,1170012563.33215
2307,0.5454545454545454,35,2017.03PA.154,110,99872.72727,21884.46215,77914.89362,148459.45946,385000.0,9000.0,8000.0,141,171,0.36815,0.52482,10986000.0,894170257.09537
2307,0.5818181818181818,30,2017.03PA.153,110,100000.0,18121.91104,63218.3908,129411.76471,367000.0,7000.0,16000.0,174,230,0.41928,0.48851,11000000.0,831169931.65544
2307,0.5909090909090909,23,2017.03PA.151,110,98918.18182,29554.05405,81812.03008,147040.54054,517000.0,6500.0,22000.0,133,136,0.42765,0.55639,10881000.0,1636394089.21116
2307,0.5181818181818182,16,2017.03PA.150,110,99127.27273,11382.04593,33863.35404,67726.70807,250000.0,3000.0,27000.0,322,267,0.46532,0.5,10904000.0,433130795.39182
2055,0.5102040816326531,30,2016.03.8,98,84142.85714,33520.3252,74963.63636,161686.27451,475000.0,12500.0,13000.0,110,130,0.44715,0.46364,8246000.0,2099222034.17952
2055,0.7448979591836735,27,2016.03.132,98,97510.20408,16648.08362,69751.82482,112423.52941,435000.0,7000.0,17000.0,137,338,0.23868,0.62044,9556000.0,565471052.16752
2055,0.8673469387755102,28,2016.03.6,98,99755.10204,26710.38251,72414.81481,96792.07921,534000.0,16500.0,6000.0,135,202,0.36885,0.74815,9776000.0,1158020001.49712
2167,0.7029702970297029,10,2016.01.75,101,74920.79208,16928.41163,60536.0,98272.72727,287000.0,9000.0,10000.0,125,271,0.28153,0.616,7567000.0,456384998.14408
2262,0.75,13,2016.01.75,100,98230.0,17113.24042,78584.0,112908.04598,323000.0,11000.0,13000.0,125,212,0.32383,0.696,9823000.0,401744571.33128
2055,0.7551020408163265,25,2016.03.2,98,56520.40816,23079.16667,48165.21739,69237.5,215000.0,9000.0,3000.0,115,122,0.47917,0.69565,5539000.0,1023830526.49931
2055,0.7755102040816326,30,2016.03.1,98,85408.16327,20977.44361,74732.14286,102073.17073,349000.0,10000.0,11000.0,112,254,0.2807,0.73214,8370000.0,887941700.98613
2167,0.5841584158415841,33,2016.01.72,101,75742.57426,16276.59574,58846.15385,109285.71429,378000.0,6500.0,6000.0,130,256,0.28078,0.53846,7650000.0,538511817.81064
2262,0.52,15,2016.01.72,100,83320.0,14720.84806,57068.49315,120753.62319,413000.0,5000.0,19000.0,146,256,0.2874,0.4726,8332000.0,565065299.10254
2307,0.41818181818181815,33,2017.03PA.148,110,100145.45455,18895.36878,81600.0,189931.03448,437000.0,3000.0,3000.0,135,289,0.30963,0.42963,11016000.0,972258792.94796
2307,0.6,17,2017.03PA.147,110,99518.18182,24326.66667,85523.4375,149958.90411,640000.0,12500.0,13000.0,128,223,0.31527,0.57031,10947000.0,927432026.72606
2307,0.4727272727272727,32,2017.03PA.146,110,98863.63636,20635.67362,71546.05263,167307.69231,330000.0,7000.0,13000.0,152,342,0.29344,0.42763,10875000.0,958817584.28871
2307,0.4,26,2017.03PA.145,110,99490.90909,19700.17953,68830.18868,171000.0,321000.0,11000.0,17000.0,159,263,0.36552,0.40252,10944000.0,467821816.51447
